Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
432,Scott Williams\willisc01,C,32,MIL,66,31,19.3,2.6,5.5,0.474,0,0.1,0.25,2.6,5.4,0.476,0.475,0.9,1.1,0.857,1.5,4,5.5,0.5,0.7,0.5,0.6,2.7,6.1
433,Shammond Williams\willish01,PG,25,SEA,69,6,17.9,2.3,5.3,0.438,0.9,1.9,0.459,1.4,3.4,0.426,0.52,1.2,1.4,0.875,0.5,1.4,1.9,2.8,0.4,0.1,1.2,1.2,6.8
434,Walt Williams\williwa02,SF,30,HOU,72,31,22,2.8,7.1,0.394,1.4,3.4,0.395,1.4,3.7,0.392,0.489,1.3,1.8,0.77,0.4,3,3.4,1.3,0.4,0.4,1,2.1,8.3
435,Corliss Williamson\willico02,SF,27,TOT,69,40,24.4,4.7,9.4,0.502,0,0,0,4.7,9.3,0.504,0.502,2.2,3.4,0.637,1.6,3.1,4.7,0.9,0.7,0.3,1.6,2.7,11.6
435,Corliss Williamson\willico02,SF,27,TOR,42,31,21.1,3.6,7.7,0.471,0,0,0,3.6,7.7,0.474,0.471,2,3.1,0.646,1.4,2.3,3.6,0.8,0.4,0.3,1.5,2.3,9.3
435,Corliss Williamson\willico02,SF,27,DET,27,9,29.6,6.4,11.9,0.534,0,0,,6.4,11.9,0.534,0.534,2.5,4,0.626,2,4.3,6.2,1,1.3,0.3,1.7,3.2,15.2
436,Kevin Willis\willike02,C,38,TOT,78,22,23.5,3.9,8.8,0.441,0,0.1,0.167,3.9,8.8,0.443,0.441,1.4,1.9,0.769,2.3,4.6,6.8,0.6,0.7,0.7,1.1,2.8,9.3
436,Kevin Willis\willike02,C,38,TOR,35,9,22,3.5,7.7,0.461,0,0.1,0,3.5,7.6,0.464,0.461,1.7,2.3,0.753,1.9,4.4,6.4,0.6,0.5,0.6,1.1,2.2,8.8
436,Kevin Willis\willike02,C,38,DEN,43,13,24.6,4.2,9.8,0.428,0,0.1,0.25,4.2,9.7,0.429,0.429,1.2,1.5,0.788,2.5,4.7,7.2,0.7,0.9,0.7,1.1,3.2,9.6
437,David Wingate\wingada01,SG,37,SEA,1,0,9,3,3,1,0,0,,3,3,1,1,0,0,,0,0,0,2,0,0,0,1,6
438,Ruben Wolkowyski\wolkoru01,PF,27,SEA,34,1,9,0.7,2.3,0.316,0,0.1,0,0.7,2.3,0.325,0.316,0.7,1,0.735,0.4,1,1.4,0.1,0.2,0.5,0.4,1.1,2.2
439,Metta World Peace\artesro01,SF,21,CHI,76,74,31.1,4.3,10.7,0.401,0.6,1.9,0.291,3.7,8.8,0.426,0.428,2.8,3.7,0.75,0.8,3.1,3.9,3,2,0.6,2.1,3.3,11.9
440,Lorenzen Wright\wrighlo02,C,25,ATL,71,46,28,5.1,11.4,0.448,0,0,0,5.1,11.4,0.449,0.448,2.2,3,0.718,2.5,5,7.5,1.2,0.6,0.9,1.8,3.3,12.4
441,Wang Zhizhi\zhizhwa01,C,23,DAL,5,0,7.6,1.6,3.8,0.421,0,0.4,0,1.6,3.4,0.471,0.421,1.6,2,0.8,0.2,1.2,1.4,0,0,0,0.2,1.6,4.8
