"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team","All-NBA 1st Team"
"2","YEAR","PLAYER","POS","TEAM","FG%","PPG","RPG","APG","BLKPG",NA
"314","","Bill Sharman","G","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"315","","Bob Cousy","G","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"316","","Bob Pettit","F","St. Louis Hawks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"317","","Nate Johnston","C","Philadelphia Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"318","1955","Adolph Schayes","","Syracuse Nationals","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"319","","Bob Cousy","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"320","","Bob Pettit","","Milwaukee Hawks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"321","","Larry Foust","FC","Fort Wayne Pistons","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"322","","Nate Johnston","","Philadelphia Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"323","1954","Adolph Schayes","","Syracuse Nationals","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"324","","Bob Cousy","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"325","","Harry Gallatin","","New York Knicks","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"326","","Nate Johnston","","Philadelphia Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"327","","George Mikan","","Minneapolis Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"328","1953","Adolph Schayes","","Syracuse Nationals","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"329","","Bob Cousy","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"330","","Nate Johnston","","Philadelphia Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"331","","Charles Macauley","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"332","","George Mikan","","Minneapolis Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"333","1952","Paul Arizin","F","Philadelphia Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"334","","Adolph Schayes","","Syracuse Nationals","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"335","","Bob Cousy","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"336","","Bob Davies","GF","Rochester Royals","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"337","","Charles Macauley","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"338","","George Mikan","","Minneapolis Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"339","1951","Ralph Beard","","Indianapolis Olympians","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"340","","Bob Davies","GF","Rochester Royals","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"341","","Alex Groza","","Indianapolis Olympians","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"342","","Charles Macauley","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"343","","George Mikan","","Minneapolis Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"344","1950","Bob Davies","GF","Rochester Royals","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"345","","Alex Groza","","Indianapolis Olympians","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"346","","George Mikan","","Minneapolis Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"347","","James Pollard","","Minneapolis Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"348","","Max Zaslofsky","","Chicago Stags","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"349","1949","Bob Davies","GF","Rochester Royals","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"350","","Joe Fulks","FC","Philadelphia Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"351","","George Mikan","","Minneapolis Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"352","","James Pollard","","Minneapolis Lakers","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"353","","Max Zaslofsky","","Chicago Stags","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"354","1948","Howard Dallmar","","Philadelphia Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"355","","Robert Feerick","","Washington Capitols","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"356","","Joe Fulks","FC","Philadelphia Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"357","","Edward Sadowski","","Boston Celtics","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"358","","Max Zaslofsky","","Chicago Stags","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"359","1947","Robert Feerick","","Washington Capitols","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"360","","Joe Fulks","FC","Philadelphia Warriors","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"361","","John McMahon","","Washington Capitols","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"362","","Stanley Miasek","","Detroit Falcons","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
"363","","Max Zaslofsky","","Chicago Stags","No stats available.","No stats available.","No stats available.","No stats available.","No stats available.",NA
