"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team"
"2","YEAR","PLAYER","POS","TEAM","FG%","PPG","RPG","APG","BLKPG",NA
"31","","Damian Lillard","G","Portland Trail Blazers",".429","19.0","3.1","6.5","0.2",NA
"32","","Dion Waiters","G","Cleveland Cavaliers",".412","14.7","2.4","3.0","0.3",NA
"33","2012","Ricky Rubio","G","Minnesota Timberwolves",".357","10.6","4.2","8.2","0.2",NA
"34","","Kenneth Faried","F","Denver Nuggets",".586","10.2","7.7","0.8","1.0",NA
"35","","Kyrie Irving","G","Cleveland Cavaliers",".469","18.5","3.7","5.4","0.4",NA
"36","","Brandon Knight","G","Detroit Pistons",".415","12.8","3.2","3.8","0.2",NA
"37","","Kawhi Leonard","F","San Antonio Spurs",".493","7.9","5.1","1.1","0.4",NA
"38","","Iman Shumpert","G","New York Knicks",".401","9.5","3.2","2.8","0.1",NA
"39","","Klay Thompson","G","Golden State Warriors",".443","12.5","2.4","2.0","0.3",NA
"40","2011","Blake Griffin","PF","LA Clippers",".506","22.5","12.1","3.8","0.5",NA
"41","","John Wall","PG","Washington Wizards",".409","16.4","4.6","8.3","0.5",NA
"42","","DeMarcus Cousins","C","Sacramento Kings",".430","14.1","8.6","2.5","0.8",NA
"43","","Landry Fields","SG","New York Knicks",".497","9.7","6.4","1.9","0.2",NA
"44","","Gary Neal","PG","San Antonio Spurs",".451","9.8","2.5","1.2","0.1",NA
"45","2010","Darren Collison","PG","New Orleans Hornets",".477","12.4","2.5","5.7","0.1",NA
"46","","Stephen Curry","PG","Golden State Warriors",".462","17.5","4.5","5.9","0.2",NA
"47","","Tyreke Evans","SG","Sacramento Kings",".458","20.1","5.3","5.8","0.4",NA
"48","","Taj Gibson","PF","Chicago Bulls",".494","9.0","7.5","0.9","1.3",NA
"49","","Brandon Jennings","G","Milwaukee Bucks",".371","15.5","3.4","5.7","0.2",NA
"50","2009","Michael Beasley","SF","Miami Heat",".472","13.9","5.4","1.0","0.5",NA
"51","","Brook Lopez","C","New Jersey Nets",".531","13.0","8.1","1.0","1.8",NA
"52","","O.J. Mayo","SG","Memphis Grizzlies",".438","18.5","3.8","3.2","0.2",NA
"53","","Derrick Rose","PG","Chicago Bulls",".475","16.8","3.9","6.3","0.2",NA
"54","","Russell Westbrook","PG","Oklahoma City Thunder",".398","15.3","4.9","5.3","0.2",NA
"55","2008","Luis Scola","F","Houston Rockets",".515","10.3","6.4","1.3","0.2",NA
"56","","Kevin Durant","SF","Seattle SuperSonics",".430","20.3","4.4","2.4","0.9",NA
"57","","Jeff Green","SF","Seattle SuperSonics",".427","10.5","4.7","1.5","0.6",NA
"58","","Al Horford","C","Atlanta Hawks",".498","10.1","9.7","1.5","0.9",NA
"59","","Al Thornton","SF","LA Clippers",".429","12.7","4.5","1.2","0.5",NA
"60","2007","LaMarcus Aldridge","PF","Portland Trail Blazers",".503","9.0","5.0","0.4","1.2",NA
"61","","Andrea Bargnani","C","Toronto Raptors",".427","11.6","3.9","0.8","0.8",NA
"62","","Randy Foye","SG","Minnesota Timberwolves",".434","10.1","2.7","2.8","0.3",NA
"63","","Rudy Gay","SF","Memphis Grizzlies",".422","10.8","4.5","1.3","0.9",NA
"64","","Brandon Roy","SG","Portland Trail Blazers",".456","16.8","4.4","4.0","0.2",NA
"65","","Jorge Garbajosa","PF","Toronto Raptors",".420","8.5","4.9","1.9","0.2",NA
"66","2006","Andrew Bogut","C","Milwaukee Bucks",".533","9.4","7.0","2.3","0.8",NA
"67","","Channing Frye","F","New York Knicks",".477","12.3","5.8","0.8","0.7",NA
"68","","Chris Paul","PG","NO/Oklahoma City
 Hornets",".430","16.1","5.1","7.8","0.1",NA
"69","","Charlie Villanueva","PF","Toronto Raptors",".463","13.0","6.4","1.1","0.8",NA
"70","","Deron Williams","PG","Utah Jazz",".421","10.8","2.4","4.5","0.2",NA
"71","2005","Ben Gordon","SG","Chicago Bulls",".411","15.1","2.6","2.0","0.1",NA
"72","","Dwight Howard","C","Orlando Magic",".520","12.0","10.0","0.9","1.7",NA
"73","","Andre Iguodala","SG","Philadelphia 76ers",".493","9.0","5.7","3.0","0.6",NA
"74","","Emeka Okafor","C","Charlotte Bobcats",".447","15.1","10.9","0.9","1.7",NA
"75","","Luol Deng","SF","Chicago Bulls",".434","11.7","5.3","2.2","0.4",NA
"76","2004","LeBron James","SF","Cleveland Cavaliers",".417","20.9","5.5","5.9","0.7",NA
"77","","Carmelo Anthony","PF","Denver Nuggets",".426","21.0","6.1","2.8","0.5",NA
"78","","Chris Bosh","PF","Toronto Raptors",".459","11.5","7.4","1.0","1.4",NA
"79","","Kirk Hinrich","SG","Chicago Bulls",".386","12.0","3.4","6.8","0.3",NA
"80","","Dwyane Wade","SG","Miami Heat",".465","16.2","4.0","4.5","0.6",NA
"81","2003","Caron Butler","SF","Miami Heat",".416","15.4","5.1","2.7","0.4",NA
"82","","Drew Gooden","PF","Orlando Magic",".457","12.5","6.5","1.2","0.5",NA
"83","","Nene Hilario","C","Denver Nuggets",".519","10.5","6.1","1.9","0.8",NA
"84","","Yao Ming","C","Houston Rockets",".498","13.5","8.2","1.7","1.8",NA
"85","","Amar'e Stoudemire","C","Phoenix Suns",".472","13.5","8.8","1.0","1.1",NA
"86","2002","Andrei Kirilenko","SF","Utah Jazz",".450","10.7","4.9","1.1","1.9",NA
"87","","Shane Battier","SF","Memphis Grizzlies",".429","14.4","5.4","2.8","1.0",NA
"88","","Pau Gasol","C","Memphis Grizzlies",".518","17.6","8.9","2.7","2.1",NA
"89","","Tony Parker","PG","San Antonio Spurs",".419","9.2","2.6","4.3","0.1",NA
"90","","Jason Richardson","SG","Golden State Warriors",".426","14.4","4.3","3.0","0.4",NA
"91","2001","Marc Jackson","PF","Golden State Warriors",".467","13.2","7.5","1.2","0.6",NA
"92","","Kenyon Martin","PF","New Jersey Nets",".445","12.0","7.4","1.9","1.7",NA
